,Condition,genes,Method,replicate,Step,time_s,mem_gb
208,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,5,Branch length estimation,2.53,0.053884
209,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,5,Dating,15.03,0.030924
210,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,6,Branch length estimation,2.24,0.053876
211,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,6,Dating,14.34,0.031648
212,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,7,Branch length estimation,2.55,0.05388
213,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,7,Dating,14.67,0.032176
214,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,8,Branch length estimation,3.88,0.053876
215,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,8,Dating,15.68,0.032744
216,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,9,Branch length estimation,2.27,0.053872
217,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,9,Dating,16.18,0.030396
218,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,10,Branch length estimation,2.58,0.05388
219,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,10,Dating,15.5,0.030116
220,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,11,Branch length estimation,2.5,0.053916
221,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,11,Dating,14.41,0.031188
222,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,12,Branch length estimation,2.45,0.05388
223,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,12,Dating,14.59,0.03244
224,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,13,Branch length estimation,2.34,0.05388
225,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,13,Dating,16.88,0.030588
226,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,14,Branch length estimation,2.57,0.053876
227,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,14,Dating,15.55,0.030656
228,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,15,Branch length estimation,2.44,0.05388
229,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,15,Dating,14.42,0.031452
230,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,16,Branch length estimation,2.85,0.05388
231,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,16,Dating,15.24,0.033732
232,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,17,Branch length estimation,2.33,0.05388
233,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,17,Dating,14.16,0.03112
234,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,18,Branch length estimation,3.14,0.053884
235,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,18,Dating,15.33,0.029868
236,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,19,Branch length estimation,2.35,0.053876
237,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,19,Dating,16.35,0.031688
238,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,20,Branch length estimation,3.24,0.053884
239,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,20,Dating,14.9,0.030116
240,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,21,Branch length estimation,3.03,0.05388
241,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,21,Dating,20.29,0.034144
242,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,22,Branch length estimation,2.49,0.05388
243,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,22,Dating,14.71,0.031452
244,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,23,Branch length estimation,2.28,0.053876
245,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,23,Dating,15.93,0.031116
246,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,24,Branch length estimation,3.56,0.05388
247,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,24,Dating,17.0,0.033232
248,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,25,Branch length estimation,2.78,0.05388
249,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,25,Dating,14.38,0.030592
250,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,26,Branch length estimation,3.98,0.053884
251,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,26,Dating,15.21,0.0327
252,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,27,Branch length estimation,2.6,0.053876
253,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,27,Dating,16.85,0.033932
254,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,28,Branch length estimation,2.37,0.05388
255,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,28,Dating,16.52,0.030396
256,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,29,Branch length estimation,2.55,0.053884
257,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,29,Dating,15.46,0.034288
258,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,30,Branch length estimation,3.12,0.053876
259,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,30,Dating,15.44,0.030624
260,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,31,Branch length estimation,2.9,0.053884
261,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,31,Dating,14.48,0.029604
262,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,32,Branch length estimation,2.43,0.053868
263,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,32,Dating,16.31,0.032584
264,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,33,Branch length estimation,2.37,0.053884
265,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,33,Dating,16.91,0.03434
266,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,34,Branch length estimation,2.63,0.053888
267,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,34,Dating,13.76,0.030964
268,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,35,Branch length estimation,2.26,0.05388
269,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,35,Dating,15.21,0.03248
270,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,36,Branch length estimation,2.56,0.05388
