,Taxon,Branch Type,l1,l2,l1/l2,Topology
62,  ,internal,3.821643,8.242538,0.463648818,ASTRAL
63,Pitta koch KU25518,terminal,4.710735,8.703665,0.54123579,ASTRAL
64,  ,internal,5.150545,2.936653,1.753882737,ASTRAL
65,  ,internal,2.890371,0.015729,183.7606332,ASTRAL
66,Pitta eryter SB03651,terminal,12.751651,11.656046,1.093994567,ASTRAL
67,  ,internal,6.205326,11.567451,0.536447139,ASTRAL
68,Calymen whiadi L52625,terminal,1.887148,4.361662,0.432667181,ASTRAL
69,Calymen hosii L78709,terminal,1.887148,4.361662,0.432667181,ASTRAL
70,  ,internal,3.276566,0.160461,20.41970323,ASTRAL
71,Calymen virdis L51137,terminal,5.163714,4.522123,1.141878273,ASTRAL
72,  ,internal,12.463555,12.718758,0.979934912,ASTRAL
73,Smitho sharp UM233887,terminal,2.310273,2.919595,0.791299136,ASTRAL
74,Smitho rufter L45352,terminal,2.310273,2.919595,0.791299136,ASTRAL
75,  ,internal,4.370934,0.232879,18.76912044,ASTRAL
76,Smitho capsis S636743,terminal,6.681206,3.152475,2.119352572,ASTRAL
77,  ,internal,10.946063,14.088406,0.776955392,ASTRAL
78,  ,internal,1.329708,5.982616,0.222261967,ASTRAL
79,  ,internal,0.972767,0.369346,2.633755341,ASTRAL
80,Sapayoa ae L2329,terminal,19.929744,23.592844,0.844736819,ASTRAL
81,  ,internal,0.33053,0.424197,0.779189858,ASTRAL
82,Euryla ochmal L50329,terminal,0.205632,2.089218,0.098425344,ASTRAL
83,Euryla java L79621,terminal,0.205632,2.089218,0.098425344,ASTRAL
84,  ,internal,3.657105,3.78986,0.964971002,ASTRAL
85,Cymrhy macrhy L61536,terminal,3.862737,5.879078,0.657031085,ASTRAL
86,  ,internal,0.935761,1.38203,0.67709167,ASTRAL
87,Euryla steer K19050,terminal,1.234763,0.52525,2.35081009,ASTRAL
88,Euryla steer K20930,terminal,1.234763,0.52525,2.35081009,ASTRAL
89,  ,internal,3.563735,6.735858,0.529069199,ASTRAL
90,  ,internal,1.158183,2.093926,0.553115535,ASTRAL
91,Corydo sumnus L77291,terminal,4.080045,6.765074,0.603104268,ASTRAL
92,Psaris dalsia K25407,terminal,4.080045,6.765074,0.603104268,ASTRAL
93,  ,internal,1.876635,2.58996,0.724580689,ASTRAL
94,  ,internal,0.416416,6.129629,0.067934944,ASTRAL
95,Philep schgel F431191,terminal,2.378485,4.452328,0.534211541,ASTRAL
96,Philep casnea F438676,terminal,2.378485,4.452328,0.534211541,ASTRAL
97,  ,internal,1.736639,5.483256,0.316716746,ASTRAL
98,Neodre hypxan F363809,terminal,0.895164,3.408468,0.262629428,ASTRAL
99,Neodre corsca F345711,terminal,0.895164,3.408468,0.262629428,ASTRAL
100,  ,internal,3.21996,6.527115,0.493320556,ASTRAL
101,  ,internal,2.257972,5.549079,0.406909327,ASTRAL
102,  ,internal,5.117088,0.289211,17.69326893,ASTRAL
103,Serilo lunat SB15168,terminal,11.490185,15.773874,0.728431392,ASTRAL
104,  ,internal,8.77009,8.243166,1.063922527,ASTRAL
105,  ,internal,6.096728,4.844619,1.258453554,ASTRAL
106,Agrior murnus K11848,terminal,0.009181,0.626709,0.014649542,ASTRAL
107,Agrior albcau L72330,terminal,0.009181,0.626709,0.014649542,ASTRAL
108,  ,internal,0.060838,0.068457,0.888703858,ASTRAL
109,Agrior montan L6710,terminal,0.070019,0.695166,0.100722705,ASTRAL
110,  ,internal,0.02508,0.201823,0.124267304,ASTRAL
111,Myiothe fumgat IAvHBTAMC872,terminal,0.053755,0.610737,0.088016609,ASTRAL
112,Myiothe fusfus L1837,terminal,0.053755,0.610737,0.088016609,ASTRAL
113,  ,internal,0.041344,0.286253,0.144431674,ASTRAL
114,  ,internal,0.006241,0.076852,0.081208036,ASTRAL
115,Xolmis cortus KU11859,terminal,0.10134,0.973841,0.104062162,ASTRAL
116,  ,internal,0.039723,0.011473,3.462302798,ASTRAL
117,Xolmis cinreu SB14699,terminal,0.141063,0.985314,0.143165529,ASTRAL
118,  ,internal,0.02033,0.017936,1.133474576,ASTRAL
119,Xolmis pyrope A12144,terminal,0.161394,1.00325,0.160871169,ASTRAL
120,  ,internal,0.007427,0.088111,0.084291405,ASTRAL
121,Xolmis veltus L38195,terminal,0.062035,0.501567,0.123682379,ASTRAL
122,Xolmis irupe SB14801,terminal,0.062035,0.501567,0.123682379,ASTRAL
123,  ,internal,0.106785,0.589793,0.181055048,ASTRAL
124,  ,internal,0.329062,0.02455,13.40374745,ASTRAL
125,Neoxol ruftri LSU14025,terminal,0.350325,0.736642,0.475570223,ASTRAL
126,Xolmis rubtra K11946,terminal,0.350325,0.736642,0.475570223,ASTRAL
127,  ,internal,0.147558,0.379268,0.389059979,ASTRAL
128,  ,internal,0.12822,0.037101,3.455971537,ASTRAL
129,Myiothe strcol L38280,terminal,0.626103,1.153012,0.543015164,ASTRAL
130,  ,internal,0.081114,0.036831,2.202329559,ASTRAL
131,Agrior micro A13502,terminal,0.707217,1.189842,0.594378918,ASTRAL
132,  ,internal,0.181915,0.254111,0.715887939,ASTRAL
133,Poliox rufnis K19488,terminal,0.550083,0.901622,0.610103791,ASTRAL
134,Cnemar erygiu L30022,terminal,0.550083,0.901622,0.610103791,ASTRAL
135,  ,internal,0.339049,0.542331,0.625169869,ASTRAL
136,  ,internal,0.072301,0.275531,0.262406045,ASTRAL
137,Knipo orecen L3178,terminal,0.239595,0.899148,0.266468924,ASTRAL
138,Knipo poerus SB10607,terminal,0.239595,0.899148,0.266468924,ASTRAL
139,  ,internal,0.144686,0.037292,3.879813365,ASTRAL
140,Knipo poecus A14176,terminal,0.384281,0.93644,0.410363718,ASTRAL
141,  ,internal,0.037229,0.127655,0.291637617,ASTRAL
142,Knipo nigmus MPEGDZ5162,terminal,0.015688,0.535105,0.029317611,ASTRAL
143,Knipo franus SP82727,terminal,0.015688,0.535105,0.029317611,ASTRAL
144,  ,internal,0.295385,0.418277,0.706194699,ASTRAL
145,Knipo lopho SB14741,terminal,0.311074,0.953381,0.326285084,ASTRAL
146,  ,internal,0.110437,0.110714,0.997498058,ASTRAL
147,  ,internal,0.026616,0.060894,0.437087398,ASTRAL
148,Knipo atemus LSUMZ44399,terminal,0.049514,0.145932,0.339295014,ASTRAL
149,Knipo signa L44150,terminal,0.049514,0.145932,0.339295014,ASTRAL
150,  ,internal,0.125118,0.357254,0.350221411,ASTRAL
151,Knipo caban KU9690,terminal,0.174632,0.503186,0.347052581,ASTRAL
152,  ,internal,0.19737,0.577789,0.341595288,ASTRAL
153,Knipo hudso L18865,terminal,0.118439,0.294575,0.402067385,ASTRAL
154,Knipo hudso L19103,terminal,0.118439,0.294575,0.402067385,ASTRAL
155,  ,internal,0.179162,0.649067,0.276030055,ASTRAL
156,Knipo strcep L38892,terminal,0.297602,0.943642,0.315375958,ASTRAL
157,  ,internal,0.074401,0.137334,0.541752225,ASTRAL
158,  ,internal,0.076124,0.044014,1.729540601,ASTRAL
159,  ,internal,0.286822,0.027637,10.37818866,ASTRAL
160,Knipo atemus LSU6578,terminal,0.734949,1.152627,0.637629519,ASTRAL
161,  ,internal,0.204694,0.378674,0.540554672,ASTRAL
162,Hymeno pertus SB14701,terminal,0.939642,1.531301,0.613623318,ASTRAL
163,  ,internal,0.021791,0.188183,0.115796857,ASTRAL
164,  ,internal,0.089914,0.147132,0.611111111,ASTRAL
165,Musaxi junin L1203,terminal,0.106704,0.325181,0.328137253,ASTRAL
166,Musaxi captus A12128,terminal,0.106704,0.325181,0.328137253,ASTRAL
167,  ,internal,0.018263,0.079771,0.228942849,ASTRAL
168,Musaxi alpin L30037,terminal,0.047257,0.38445,0.122921056,ASTRAL
169,Musaxi maclo K11679,terminal,0.047257,0.38445,0.122921056,ASTRAL
170,  ,internal,0.077711,0.020501,3.790595581,ASTRAL
171,  ,internal,0.0553,0.012849,4.303836874,ASTRAL
172,Musaxi griseus K17552,terminal,0.180268,0.4178,0.431469603,ASTRAL
173,  ,internal,0.023418,0.018317,1.278484468,ASTRAL
174,Musaxi cinreu A12179,terminal,0.203686,0.436117,0.467044394,ASTRAL
175,  ,internal,0.138752,0.026351,5.26553072,ASTRAL
176,Musaxi alblor A12171,terminal,0.342439,0.462469,0.740458279,ASTRAL
177,  ,internal,0.019437,0.148281,0.131082202,ASTRAL
178,Musaxi flavcha A12184,terminal,0.361875,0.61075,0.59250921,ASTRAL
179,  ,internal,0.49581,0.638901,0.776035724,ASTRAL
180,Musaxi mactri L103850,terminal,0.857686,1.249651,0.686340426,ASTRAL
181,  ,internal,0.138322,0.423393,0.326698835,ASTRAL
182,Musaxi fluvi L1188,terminal,0.996007,1.673044,0.595326244,ASTRAL
183,  ,internal,0.055339,0.193572,0.285883289,ASTRAL
184,  ,internal,0.328126,0.05214,6.293172229,ASTRAL
185,Satrapa icter K9896,terminal,1.379473,1.918756,0.718941335,ASTRAL
186,  ,internal,0.058946,0.253404,0.232616691,ASTRAL
187,Ochoec leurys UWBM70458,terminal,0.098631,0.304987,0.323394112,ASTRAL
188,Ochoec leurys L3833,terminal,0.098631,0.304987,0.323394112,ASTRAL
189,  ,internal,0.048595,0.345365,0.140706209,ASTRAL
190,Ochoec piurae L49651,terminal,0.147226,0.650352,0.226378946,ASTRAL
191,  ,internal,0.050194,0.096236,0.521571969,ASTRAL
192,Ochoec ruflis L1216,terminal,0.197419,0.746589,0.264427952,ASTRAL
193,  ,internal,0.049726,0.037611,1.322113212,ASTRAL
194,Ochoec fumic H2554,terminal,0.247145,0.7842,0.315155573,ASTRAL
195,  ,internal,0.088858,0.070768,1.255624011,ASTRAL
196,Ochoec cinven L7999,terminal,0.255062,0.488824,0.521786983,ASTRAL
197,Ochoec cinven PhAMC1138,terminal,0.255062,0.488824,0.521786983,ASTRAL
198,  ,internal,0.080942,0.366144,0.221066029,ASTRAL
199,  ,internal,0.172832,0.052442,3.295679036,ASTRAL
200,Ochoec oenide L1210,terminal,0.508835,0.90741,0.560755337,ASTRAL
201,  ,internal,0.03664,0.108757,0.336897855,ASTRAL
202,Tumbez salvi L5171,terminal,0.545475,1.016167,0.536796609,ASTRAL
203,  ,internal,0.219587,0.014153,15.51522645,ASTRAL
204,Ochoec fumic KU21289,terminal,0.765062,1.030319,0.742548667,ASTRAL
205,  ,internal,0.263021,0.082017,3.206908324,ASTRAL
206,Ochoec cinven L33969,terminal,1.028083,1.112337,0.924254969,ASTRAL
207,  ,internal,0.069014,0.59724,0.115554886,ASTRAL
208,Colorh partri K11725,terminal,1.097097,1.709576,0.641736314,ASTRAL
209,  ,internal,0.128654,0.128061,1.004630606,ASTRAL
210,Ochoec diade AMC899,terminal,0.048223,0.758119,0.063608747,ASTRAL
211,Ochoec jels L3595,terminal,0.048223,0.758119,0.063608747,ASTRAL
212,  ,internal,0.237425,0.021829,10.87658619,ASTRAL
213,Ochoec diade H4182,terminal,0.285648,0.779948,0.366239801,ASTRAL
214,  ,internal,0.099566,0.044084,2.258551856,ASTRAL
215,Ochoec front K16992,terminal,0.117406,0.458301,0.256176618,ASTRAL
216,Ochoec front H2268,terminal,0.117406,0.458301,0.256176618,ASTRAL
217,  ,internal,0.267808,0.365731,0.732254034,ASTRAL
218,  ,internal,0.243268,0.032679,7.444169038,ASTRAL
219,Ochoec pullla LSUMZ7968,terminal,0.38173,0.514333,0.742184538,ASTRAL
220,Ochoec pullla A7059,terminal,0.38173,0.514333,0.742184538,ASTRAL
221,  ,internal,0.246752,0.342378,0.720700512,ASTRAL
222,  ,internal,0.324777,0.067437,4.81600605,ASTRAL
223,Ochoec diade H1821,terminal,0.95326,0.924148,1.031501448,ASTRAL
224,  ,internal,0.272491,0.91349,0.298296643,ASTRAL
225,  ,internal,0.096106,0.146143,0.65761617,ASTRAL
226,Myiopho photra L5601,terminal,0.453868,0.932828,0.486550575,ASTRAL
227,Myiopho rormae A12334,terminal,0.453868,0.932828,0.486550575,ASTRAL
228,  ,internal,0.465016,0.654166,0.710853209,ASTRAL
229,Myiopho flavns L33885,terminal,0.918884,1.586994,0.57900912,ASTRAL
230,  ,internal,0.402972,0.396786,1.015590268,ASTRAL
231,  ,internal,0.116563,0.188379,0.618768546,ASTRAL
232,  ,internal,0.008613,0.028386,0.303424223,ASTRAL
233,Empinax oberh L48075,terminal,0.038815,0.209657,0.185135722,ASTRAL
234,Empinax affin VZ184243,terminal,0.038815,0.209657,0.185135722,ASTRAL
235,  ,internal,0.044234,0.012644,3.498418222,ASTRAL
236,Empinax oberh MVZ168598,terminal,0.08305,0.222301,0.373592561,ASTRAL
237,  ,internal,0.011344,0.204545,0.055459679,ASTRAL
238,Empinax hammo L47262,terminal,0.094394,0.426847,0.22114247,ASTRAL
239,  ,internal,0.041126,0.095157,0.432191011,ASTRAL
240,Empinax wrigh L64538,terminal,0.13552,0.522003,0.259615366,ASTRAL
241,  ,internal,0.018149,0.02368,0.766427365,ASTRAL
242,Empinax minim A17530,terminal,0.153668,0.545684,0.281606204,ASTRAL
243,  ,internal,0.049818,0.086948,0.57296315,ASTRAL
244,Empinax fulfron W112498,terminal,0.133928,0.41421,0.323333575,ASTRAL
245,Empinax atrcep L28310,terminal,0.133928,0.41421,0.323333575,ASTRAL
246,  ,internal,0.069559,0.218421,0.318462968,ASTRAL
247,  ,internal,0.026032,0.140665,0.185063804,ASTRAL
248,Empinax occlis W115396,terminal,0.099309,0.25589,0.38809254,ASTRAL
249,Empinax diffi A15581,terminal,0.099309,0.25589,0.38809254,ASTRAL
250,  ,internal,0.043494,0.159398,0.272864151,ASTRAL
251,Empinax flaves L46480,terminal,0.142803,0.415288,0.34386498,ASTRAL
252,  ,internal,0.034256,0.231616,0.147899972,ASTRAL
253,Empinax flaviven L46790,terminal,0.177059,0.646903,0.273702549,ASTRAL
254,  ,internal,0.052459,0.126393,0.415046719,ASTRAL
255,  ,internal,0.042587,0.030121,1.413864082,ASTRAL
256,Empinax alblar L60923,terminal,0.110912,0.500227,0.221723338,ASTRAL
257,Empinax alnor A17507,terminal,0.110912,0.500227,0.221723338,ASTRAL
258,  ,internal,0.161193,0.303191,0.531654963,ASTRAL
259,  ,internal,0.0074,0.043551,0.169915731,ASTRAL
260,Sayorn nigcan LSUMZ38236,terminal,0.085038,0.249865,0.340335781,ASTRAL
261,Sayorn phoebe A6230,terminal,0.085038,0.249865,0.340335781,ASTRAL
262,  ,internal,0.120664,0.012802,9.425402281,ASTRAL
263,Sayorn nigcan W90854,terminal,0.205701,0.262666,0.783127622,ASTRAL
264,  ,internal,0.041894,0.298082,0.140545219,ASTRAL
265,Sayorn saya L57523,terminal,0.247595,0.560748,0.441544152,ASTRAL
266,  ,internal,0.03191,0.28622,0.111487667,ASTRAL
267,  ,internal,0.023886,0.023511,1.015949981,ASTRAL
268,Contop lati L11330,terminal,0.020691,0.208112,0.099422426,ASTRAL
269,Contop hisp K6337,terminal,0.020691,0.208112,0.099422426,ASTRAL
270,  ,internal,0.042368,0.195588,0.216618606,ASTRAL
271,Contop viren MVZ168655,terminal,0.063058,0.403701,0.156199762,ASTRAL
272,  ,internal,0.00467,0.04266,0.10947023,ASTRAL
273,Contop sorlus K4994,terminal,0.067728,0.446361,0.151733686,ASTRAL
274,  ,internal,0.009773,0.032929,0.296790063,ASTRAL
275,Contop cinreu K3847,terminal,0.077501,0.47929,0.161699597,ASTRAL
276,  ,internal,0.07634,0.028987,2.63359437,ASTRAL
277,Contop viren L37174,terminal,0.153841,0.508277,0.302671575,ASTRAL
278,  ,internal,0.012762,0.139433,0.091527831,ASTRAL
279,Contop pernax L38710,terminal,0.046139,0.285735,0.161474793,ASTRAL
280,Contop lugu L16041,terminal,0.046139,0.285735,0.161474793,ASTRAL
281,  ,internal,0.057898,0.042138,1.374009208,ASTRAL
282,Contop fumgat L22881,terminal,0.104037,0.327872,0.317309804,ASTRAL
283,  ,internal,0.019442,0.189945,0.102355945,ASTRAL
284,Contop ocheus L19784,terminal,0.123479,0.517818,0.238460231,ASTRAL
285,  ,internal,0.031627,0.048162,0.65667954,ASTRAL
286,Contop coope LSUMZ61840,terminal,0.070873,0.171483,0.413294612,ASTRAL
287,Contop coope A17527,terminal,0.070873,0.171483,0.413294612,ASTRAL
288,  ,internal,0.084233,0.394496,0.213520543,ASTRAL
289,  ,internal,0.011497,0.08173,0.1406705,ASTRAL
290,  ,internal,0.118496,0.023482,5.04624819,ASTRAL
291,Contop cinreu LSU66921,terminal,0.285099,0.671192,0.424765194,ASTRAL
292,  ,internal,0.018292,0.199287,0.091787221,ASTRAL
293,  ,internal,0.039165,0.014633,2.676484658,ASTRAL
294,Xenotr calzon AMNH16307,terminal,0.121831,0.054708,2.226932076,ASTRAL
295,Xenotr calzon W99654,terminal,0.121831,0.054708,2.226932076,ASTRAL
296,  ,internal,0.220726,0.830405,0.26580524,ASTRAL
297,  ,internal,0.099507,0.024767,4.017725199,ASTRAL
298,Contop alblar YPM139867,terminal,0.442064,0.909879,0.485849217,ASTRAL
299,  ,internal,0.100517,0.011463,8.768821425,ASTRAL
300,Empinax hammo LSU19434,terminal,0.542581,0.921342,0.588902926,ASTRAL
301,  ,internal,0.017325,0.009412,1.840735232,ASTRAL
302,Mitrep olieus L44170,terminal,0.055146,0.193647,0.284775907,ASTRAL
303,Mitrep olieus LSU22720,terminal,0.055146,0.193647,0.284775907,ASTRAL
304,  ,internal,0.224541,0.319806,0.702116283,ASTRAL
305,Mitrep phacus LSU2090,terminal,0.279686,0.513453,0.544715875,ASTRAL
306,  ,internal,0.167307,0.022266,7.514012396,ASTRAL
307,Mitrep phacus W93393,terminal,0.446993,0.535718,0.834381148,ASTRAL
308,  ,internal,0.112913,0.395036,0.285829646,ASTRAL
309,  ,internal,0.213923,0.020601,10.38410757,ASTRAL
310,Contop cinreu LSU48414,terminal,0.773829,0.951355,0.813396682,ASTRAL
311,  ,internal,0.108419,0.023533,4.607104917,ASTRAL
312,Empinax trail LSU141724,terminal,0.882248,0.974888,0.9049737,ASTRAL
313,  ,internal,0.299934,0.042584,7.043349615,ASTRAL
314,Contop cinreu UWB56023,terminal,1.182182,1.017472,1.161881605,ASTRAL
315,  ,internal,0.244451,1.006068,0.242976618,ASTRAL
316,Cnemot fustus L12894,terminal,0.135513,0.665248,0.20370298,ASTRAL
317,Cnemot fustus L75460,terminal,0.135513,0.665248,0.20370298,ASTRAL
318,  ,internal,0.262215,0.065207,4.021270722,ASTRAL
319,Cnemot fustus L74790,terminal,0.397729,0.730455,0.54449487,ASTRAL
320,  ,internal,0.267203,0.118358,2.257582926,ASTRAL
321,Cnemot fustus L58445,terminal,0.664932,0.848813,0.78336689,ASTRAL
322,  ,internal,0.13623,0.090874,1.499108656,ASTRAL
323,Cnemot fustus SP93246,terminal,0.801162,0.939687,0.852583892,ASTRAL
324,  ,internal,0.282436,0.151347,1.866148652,ASTRAL
325,Cnemot fustus H12966,terminal,1.083598,1.091034,0.993184447,ASTRAL
326,  ,internal,0.219383,0.676714,0.324188653,ASTRAL
327,Lathro euler SB5766,terminal,0.077,0.507164,0.151824656,ASTRAL
328,Lathro euler L22678,terminal,0.077,0.507164,0.151824656,ASTRAL
329,  ,internal,0.331544,0.155814,2.127819066,ASTRAL
330,Lathro gritus L66161,terminal,0.408544,0.662978,0.616225576,ASTRAL
331,  ,internal,0.050035,0.091582,0.546340984,ASTRAL
332,Aphano audax L2210,terminal,0.458579,0.75456,0.607743586,ASTRAL
333,  ,internal,0.476447,0.021819,21.8363353,ASTRAL
334,Lathro euler SB20811,terminal,0.935026,0.776378,1.20434376,ASTRAL
335,  ,internal,0.367954,0.99137,0.371157086,ASTRAL
336,  ,internal,0.123653,0.255792,0.483412304,ASTRAL
337,  ,internal,0.020399,0.177005,0.115245332,ASTRAL
338,  ,internal,0.141033,0.023492,6.003447982,ASTRAL
339,Pyroce rubnus LSUMZ49608,terminal,0.175937,0.49223,0.357428438,ASTRAL
340,Pyroce rubnus LSUMZ37157,terminal,0.175937,0.49223,0.357428438,ASTRAL
341,  ,internal,0.402187,0.265324,1.515833472,ASTRAL
342,Pyroce rubnus GAMA1,terminal,0.578124,0.757553,0.763146605,ASTRAL
343,  ,internal,0.572729,1.047942,0.546527384,ASTRAL
344,Fluvic albter L38135,terminal,0.283197,0.260921,1.0853745,ASTRAL
345,Fluvic pica SB14542,terminal,0.283197,0.260921,1.0853745,ASTRAL
346,  ,internal,0.45947,0.778917,0.589883133,ASTRAL
347,Fluvic nen GCPE50,terminal,0.742667,1.039837,0.714214824,ASTRAL
348,  ,internal,0.408186,0.765658,0.533117919,ASTRAL
349,  ,internal,0.208951,0.025121,8.317781935,ASTRAL
350,Alectr tricol K3596,terminal,0.071876,0.760423,0.094521076,ASTRAL
351,Alectr risora K3430,terminal,0.071876,0.760423,0.094521076,ASTRAL
352,  ,internal,0.659105,0.590508,1.116166081,ASTRAL
353,Gubern yetap K95,terminal,0.730981,1.35093,0.541094653,ASTRAL
354,  ,internal,0.571165,0.099264,5.753999436,ASTRAL
355,Muspip vetula MZUBOR1434,terminal,0.579561,0.210542,2.752709673,ASTRAL
356,Muspip vetula MZUBOR1433,terminal,0.579561,0.210542,2.752709673,ASTRAL
357,  ,internal,0.722584,1.239652,0.582892618,ASTRAL
358,  ,internal,0.05766,0.380422,0.151568521,ASTRAL
359,  ,internal,0.105307,0.0489,2.153517382,ASTRAL
360,Arundi leuceph L38036,terminal,1.465112,1.879516,0.779515577,ASTRAL
361,  ,internal,0.032248,0.2736,0.117865497,ASTRAL
362,Suiriri affin L15273,terminal,0.184878,0.290809,0.635736858,ASTRAL
363,Suiriri affin MZUSP79714,terminal,0.184878,0.290809,0.635736858,ASTRAL
364,  ,internal,0.354121,0.563377,0.628568436,ASTRAL
365,Subleg modtus L15283,terminal,0.538998,0.854186,0.631007766,ASTRAL
366,  ,internal,0.313546,0.058519,5.358020472,ASTRAL
367,Subleg obsior SB11764,terminal,0.223414,0.468433,0.476939071,ASTRAL
368,Subleg arena F394498,terminal,0.223414,0.468433,0.476939071,ASTRAL
369,  ,internal,0.629131,0.444272,1.416094195,ASTRAL
370,  ,internal,0.644815,1.240411,0.519839795,ASTRAL
371,  ,internal,0.077982,0.023766,3.281242111,ASTRAL
372,Coloni colon K3731,terminal,1.575342,2.176882,0.723668991,ASTRAL
373,  ,internal,0.012723,0.047156,0.269806599,ASTRAL
374,  ,internal,0.309658,0.043177,7.171827593,ASTRAL
375,Myiopho cryxan LSU5964,terminal,0.194016,0.781037,0.248408206,ASTRAL
376,Myiopho fastus GCN1412,terminal,0.194016,0.781037,0.248408206,ASTRAL
377,  ,internal,1.703707,1.486178,1.146368066,ASTRAL
378,  ,internal,0.192418,0.104655,1.838593474,ASTRAL
379,Myiar tuber LSUMZ31543,terminal,0.009,0.114648,0.078501151,ASTRAL
380,Myiar tuber LSUMZ523,terminal,0.009,0.114648,0.078501151,ASTRAL
381,  ,internal,0.01093,0.027947,0.391097434,ASTRAL
382,Myiar tuber LSUMZ7994,terminal,0.01993,0.142595,0.139766471,ASTRAL
383,  ,internal,0.01712,0.011664,1.46776406,ASTRAL
384,Myiar tuber LSUMZ44174,terminal,0.03705,0.154259,0.240180476,ASTRAL
385,  ,internal,0.011813,0.044766,0.263883304,ASTRAL
