family,age,method
Zosteropidae,7.66018,TreePL+CASTLES-Pro
Alcidae,22.6436,TreePL+CASTLES-Pro
Apterygidae,2.32044,TreePL+CASTLES-Pro
Corvidae,8.97862,TreePL+CASTLES-Pro
Passerellidae,9.21586,TreePL+CASTLES-Pro
Scotocercidae,23.2584,TreePL+CASTLES-Pro
Accipitridae,8.30844,TreePL+CASTLES-Pro
Anatidae,27.91,TreePL+CASTLES-Pro
Columbidae,23.8452,TreePL+CASTLES-Pro
Fringillidae,11.6632,TreePL+CASTLES-Pro
Laridae,18.5545,TreePL+CASTLES-Pro
Phalacrocoracidae,4.73486,TreePL+CASTLES-Pro
Phasianidae,31.0443,TreePL+CASTLES-Pro
Ramphastidae,33.6162,TreePL+CASTLES-Pro
Muscicapidae,17.388,TreePL+CASTLES-Pro
Cuculidae,44.1161,TreePL+CASTLES-Pro
Tinamidae,28.2434,TreePL+CASTLES-Pro
Alcedinidae,30.9045,TreePL+ConBL
Caprimulgidae,20.7664,TreePL+ConBL
Cardinalidae,10.5118,TreePL+ConBL
Falconidae,31.5711,TreePL+ConBL
Icteridae,4.6532,TreePL+ConBL
Irenidae,25.4273,TreePL+ConBL
Musophagidae,26.916,TreePL+ConBL
Odontophoridae,15.6087,TreePL+ConBL
Otididae,16.0143,TreePL+ConBL
Paridae,9.64156,TreePL+ConBL
Procellariidae,14.9362,TreePL+ConBL
Pteroclidae,16.8111,TreePL+ConBL
Scolopacidae,22.7818,TreePL+ConBL
Strigidae,21.1283,TreePL+ConBL
Sturnidae,15.3673,TreePL+ConBL
Sylviidae,19.8772,TreePL+ConBL
Thraupidae,11.8836,TreePL+ConBL
Vireonidae,20.465,TreePL+ConBL
Zosteropidae,8.51224,TreePL+ConBL
Alcidae,22.7567,TreePL+ConBL
Apterygidae,3.61003,TreePL+ConBL
Corvidae,8.66533,TreePL+ConBL
Passerellidae,9.58099,TreePL+ConBL
Scotocercidae,23.4136,TreePL+ConBL
Accipitridae,10.992,TreePL+ConBL
Anatidae,27.91,TreePL+ConBL
Columbidae,23.4903,TreePL+ConBL
Fringillidae,11.783,TreePL+ConBL
Laridae,17.0293,TreePL+ConBL
Phalacrocoracidae,4.20077,TreePL+ConBL
Phasianidae,28.69,TreePL+ConBL
Ramphastidae,31.4701,TreePL+ConBL
Muscicapidae,17.4523,TreePL+ConBL
Cuculidae,44.9672,TreePL+ConBL
Tinamidae,28.9491,TreePL+ConBL
