GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
26,default,0.574177,500,0.351570,0.191181,0.242635,0.214614,3.382438,1.000000,0.114798,0.133507,0.102136,0.169054
27,default,0.573020,500,0.261693,0.164942,0.240184,0.333182,2.679161,1.000000,0.204266,0.125935,0.075148,0.248547
28,default,0.750255,500,0.202973,0.223383,0.251547,0.322097,3.379173,1.000000,0.100372,0.161162,0.174272,0.227768
29,default,3.411457,500,0.285783,0.292112,0.174614,0.247490,4.382799,1.000000,0.172648,0.081620,0.123668,0.225381
30,default,1.209823,500,0.362283,0.224294,0.198950,0.214473,5.099510,1.000000,0.066389,0.096493,0.141127,0.408025
31,default,2.207128,500,0.259271,0.232279,0.279503,0.228947,3.235040,1.000000,0.098799,0.054576,0.250558,0.257997
32,default,0.412478,500,0.343191,0.196201,0.206179,0.254430,4.942698,1.000000,0.072010,0.075923,0.123634,0.325724
33,default,0.223770,500,0.323625,0.226314,0.238961,0.211100,3.807712,1.000000,0.218086,0.089320,0.085258,0.319837
34,default,1.005407,500,0.342104,0.174998,0.285740,0.197158,13.971029,1.000000,0.107080,0.146317,0.011023,0.426109
35,default,0.722274,500,0.271914,0.213520,0.286910,0.227655,4.865047,1.000000,0.124895,0.040961,0.143606,0.442810
36,default,0.056229,500,0.327305,0.188217,0.199769,0.284708,6.199735,1.000000,0.085585,0.107353,0.229391,0.312974
37,default,0.278190,500,0.322232,0.183726,0.185019,0.309022,15.167888,1.000000,0.147982,0.016598,0.031535,0.366500
38,default,0.132752,500,0.291855,0.213485,0.190144,0.304516,4.141343,1.000000,0.185966,0.099449,0.101684,0.201262
39,default,0.133609,500,0.330628,0.177917,0.244152,0.247303,7.541088,1.000000,0.045511,0.106046,0.104148,0.371649
40,default,0.942334,500,0.278070,0.242968,0.264784,0.214178,8.736108,1.000000,0.068039,0.066858,0.128949,0.280455
41,default,0.685721,500,0.232893,0.208280,0.240591,0.318236,6.455154,1.000000,0.073520,0.210318,0.093317,0.184456
42,default,0.474849,500,0.273794,0.194844,0.215276,0.316086,4.215596,1.000000,0.118674,0.061003,0.062977,0.332148
43,default,0.433538,500,0.292635,0.180540,0.214901,0.311924,4.995069,1.000000,0.052727,0.122241,0.151209,0.289848
44,default,2.689637,500,0.248526,0.255949,0.163125,0.332400,9.188641,1.000000,0.106704,0.131550,0.073087,0.344569
45,default,2.262735,500,0.232445,0.186386,0.338921,0.242249,4.688329,1.000000,0.071981,0.084006,0.088035,0.314017
46,default,0.772900,500,0.266754,0.223406,0.296408,0.213432,11.693220,1.000000,0.083492,0.090060,0.141388,0.356076
47,default,0.685439,500,0.236334,0.223103,0.255358,0.285206,10.399855,1.000000,0.074613,0.067495,0.118555,0.398656
48,default,0.614256,500,0.262366,0.153698,0.232714,0.351222,24.708859,1.000000,0.095349,0.116897,0.138428,0.236974
49,default,1.020030,500,0.280737,0.226663,0.234598,0.258002,4.199623,1.000000,0.057910,0.087442,0.118532,0.273518
50,default,0.064360,500,0.264919,0.194340,0.169840,0.370901,32.465891,1.000000,0.164843,0.090379,0.065356,0.225622
51,default,1.163954,500,0.350934,0.241732,0.168362,0.238972,12.313165,1.000000,0.047570,0.048375,0.083479,0.288008
52,default,0.525249,500,0.299333,0.238196,0.153292,0.309179,6.607750,1.000000,0.098869,0.063295,0.122301,0.255179
53,default,0.418380,500,0.307596,0.209134,0.215797,0.267472,4.673058,1.000000,0.079637,0.132971,0.077354,0.226174
54,default,1.050386,500,0.278046,0.232076,0.208686,0.281192,2.252378,1.000000,0.145209,0.096582,0.062118,0.425377
55,default,2.217809,500,0.306423,0.222093,0.247877,0.223607,6.773642,1.000000,0.057457,0.095298,0.077293,0.417216
56,default,1.323786,500,0.309500,0.205795,0.184537,0.300168,10.751011,1.000000,0.083869,0.084249,0.057404,0.486861
57,default,1.311444,500,0.307990,0.230483,0.263017,0.198511,7.933437,1.000000,0.116332,0.083171,0.093965,0.378783
58,default,0.311774,500,0.334883,0.226054,0.221121,0.217942,5.388318,1.000000,0.183050,0.054384,0.087049,0.311830
59,default,2.113792,500,0.311751,0.186264,0.238511,0.263475,5.707149,1.000000,0.155233,0.112328,0.079091,0.346653
60,default,0.547173,500,0.301326,0.216335,0.261504,0.220836,10.638506,1.000000,0.041544,0.209541,0.135028,0.210468
61,default,0.169264,500,0.308726,0.235096,0.184408,0.271770,6.839221,1.000000,0.116524,0.204670,0.111335,0.256470
62,default,0.291723,500,0.319688,0.259537,0.154446,0.266330,7.951023,1.000000,0.092795,0.099311,0.112054,0.258846
63,default,4.452249,500,0.266167,0.180665,0.198988,0.354181,4.472591,1.000000,0.048384,0.162812,0.052506,0.399453
64,default,0.105840,500,0.274071,0.197938,0.266646,0.261344,11.257306,1.000000,0.030774,0.080037,0.152759,0.441773
65,default,0.369357,500,0.335662,0.242189,0.234104,0.188045,32.381565,1.000000,0.048193,0.136869,0.142073,0.255582
66,default,0.665607,500,0.293592,0.194988,0.240445,0.270974,3.297772,1.000000,0.082199,0.156387,0.096082,0.335133
67,default,1.105745,500,0.270180,0.187915,0.200271,0.341633,6.073142,1.000000,0.053244,0.093929,0.093886,0.358195
68,default,3.242738,500,0.346177,0.163898,0.256868,0.233058,4.242528,1.000000,0.108955,0.076524,0.159586,0.290763
69,default,3.290942,500,0.297556,0.251955,0.157061,0.293428,7.050488,1.000000,0.067898,0.096642,0.099707,0.333998
70,default,0.134342,500,0.259515,0.241873,0.243111,0.255500,7.548296,1.000000,0.210303,0.121750,0.073136,0.247169
71,default,1.885952,500,0.230892,0.181213,0.257339,0.330557,8.536487,1.000000,0.110140,0.082015,0.137346,0.307851
72,default,0.796315,500,0.298267,0.154760,0.245749,0.301225,4.733276,1.000000,0.144675,0.067554,0.130162,0.332167
73,default,1.387590,500,0.285827,0.155598,0.284137,0.274438,6.836419,1.000000,0.070364,0.165712,0.061612,0.473492
74,default,1.624708,500,0.261450,0.190520,0.269859,0.278171,12.287016,1.000000,0.131291,0.209159,0.096737,0.219300
75,default,1.633845,500,0.225996,0.202692,0.302362,0.268951,3.067808,1.000000,0.125275,0.121119,0.045642,0.256016
76,default,0.836641,500,0.322594,0.272722,0.147193,0.257490,2.968407,1.000000,0.131579,0.110759,0.086518,0.291990
77,default,0.101723,500,0.268127,0.235429,0.296983,0.199461,2.194994,1.000000,0.132989,0.179194,0.111074,0.189196
78,default,0.096736,500,0.292206,0.199436,0.249580,0.258778,16.314825,1.000000,0.134099,0.099002,0.035589,0.245365
79,default,0.166122,500,0.305201,0.209281,0.258800,0.226717,6.703911,1.000000,0.012647,0.083742,0.071701,0.329227
80,default,0.268669,500,0.270677,0.176384,0.312415,0.240524,17.872539,1.000000,0.046067,0.160613,0.134954,0.250579
81,default,1.324987,500,0.313745,0.268913,0.149137,0.268206,2.878897,1.000000,0.125456,0.092810,0.198684,0.260599
82,default,1.553276,500,0.295561,0.257332,0.223623,0.223484,4.802701,1.000000,0.164946,0.052631,0.059856,0.263594
83,default,1.535224,500,0.278960,0.251510,0.215694,0.253837,5.653794,1.000000,0.089983,0.062328,0.252500,0.319258
84,default,0.101009,500,0.260754,0.180465,0.192267,0.366514,7.533587,1.000000,0.069214,0.087758,0.078716,0.297388
85,default,0.729233,500,0.369463,0.135785,0.228627,0.266124,9.052026,1.000000,0.088701,0.138462,0.213634,0.227159
86,default,0.085270,500,0.234472,0.230367,0.291949,0.243212,1.843210,1.000000,0.037840,0.044099,0.110119,0.344581
87,default,0.055523,500,0.260920,0.266391,0.218441,0.254248,4.411319,1.000000,0.089829,0.063488,0.065316,0.267248
88,default,0.460501,500,0.360785,0.182345,0.210742,0.246128,14.878682,1.000000,0.093190,0.111651,0.119921,0.359565
89,default,0.216770,500,0.309259,0.195675,0.253472,0.241594,4.128669,1.000000,0.135656,0.152695,0.101225,0.278019
90,default,0.550121,500,0.292636,0.231131,0.168509,0.307724,4.044933,1.000000,0.109953,0.129624,0.163588,0.254901
91,default,1.253738,500,0.324419,0.200463,0.181655,0.293463,5.521578,1.000000,0.161513,0.160307,0.106402,0.263446
92,default,0.254190,500,0.256886,0.235623,0.259227,0.248265,12.985051,1.000000,0.062498,0.105908,0.151778,0.400527
93,default,1.816358,500,0.238619,0.174565,0.328069,0.258747,5.332118,1.000000,0.080115,0.203521,0.086753,0.198706
94,default,0.450547,500,0.284913,0.190552,0.332229,0.192306,6.471958,1.000000,0.070353,0.114304,0.136800,0.326766
95,default,1.756125,500,0.283548,0.272227,0.228226,0.216000,7.251971,1.000000,0.080718,0.159046,0.123573,0.315455
96,default,0.231027,500,0.271220,0.166599,0.346587,0.215595,4.227126,1.000000,0.149338,0.159475,0.049751,0.193298
97,default,0.507527,500,0.344002,0.257422,0.204164,0.194411,4.868753,1.000000,0.033771,0.142426,0.164793,0.277736
98,default,1.373284,500,0.329088,0.118615,0.230529,0.321768,12.035150,1.000000,0.100637,0.222753,0.140930,0.257554
99,default,0.297723,500,0.300858,0.329738,0.182285,0.187120,7.135772,1.000000,0.140164,0.040260,0.182125,0.159262
100,default,0.836425,500,0.315329,0.213867,0.195758,0.275046,7.826760,1.000000,0.067008,0.045193,0.159203,0.411152
101,default,0.826515,500,0.282831,0.264865,0.210604,0.241700,2.676013,1.000000,0.128396,0.084260,0.248843,0.223986
102,default,0.591711,500,0.320977,0.183791,0.224758,0.270474,12.881725,1.000000,0.096706,0.148175,0.146490,0.268961
103,default,2.380098,500,0.325429,0.207758,0.196897,0.269916,8.980930,1.000000,0.107269,0.100715,0.098676,0.325538
104,default,0.975500,500,0.306398,0.236350,0.242103,0.215149,5.815318,1.000000,0.073997,0.055708,0.195673,0.295663
105,default,1.823322,500,0.346411,0.235924,0.194651,0.223014,12.195955,1.000000,0.137762,0.151350,0.071115,0.290001
106,default,1.601569,500,0.338372,0.168272,0.231244,0.262112,11.842601,1.000000,0.078788,0.070994,0.037364,0.339930
107,default,0.169405,500,0.251131,0.267362,0.195914,0.285594,3.977001,1.000000,0.150282,0.123639,0.123190,0.361867
108,default,0.088036,500,0.268184,0.134198,0.247297,0.350321,6.640416,1.000000,0.083449,0.185916,0.048557,0.307083
109,default,0.032428,500,0.285554,0.268751,0.205837,0.239858,11.503973,1.000000,0.078584,0.102153,0.168495,0.343747
110,default,1.687752,500,0.296953,0.171417,0.194529,0.337101,8.476071,1.000000,0.131992,0.182193,0.102342,0.234812
111,default,0.558394,500,0.271260,0.252893,0.220856,0.254990,4.820198,1.000000,0.083502,0.119597,0.152981,0.342391
112,default,2.905889,500,0.273272,0.260299,0.206362,0.260067,9.904274,1.000000,0.064193,0.088058,0.074782,0.260111
113,default,1.757320,500,0.247435,0.210442,0.272416,0.269707,4.209684,1.000000,0.065577,0.151610,0.104193,0.310514
114,default,0.907965,500,0.349983,0.206224,0.176042,0.267752,12.772013,1.000000,0.065000,0.085672,0.125266,0.324289
115,default,1.125980,500,0.295768,0.190985,0.237691,0.275555,4.243529,1.000000,0.112446,0.066402,0.111331,0.374760
116,default,1.886931,500,0.276616,0.173263,0.222687,0.327434,4.139961,1.000000,0.100426,0.051492,0.102362,0.229652
117,default,0.800917,500,0.270413,0.194113,0.263957,0.271517,3.495620,1.000000,0.071045,0.087909,0.156930,0.332886
118,default,0.630176,500,0.277439,0.207751,0.267253,0.247557,4.037132,1.000000,0.147356,0.137237,0.123369,0.272288
119,default,0.112210,500,0.249246,0.194105,0.327277,0.229372,7.384118,1.000000,0.117258,0.187262,0.057995,0.315633
120,default,1.400556,500,0.321379,0.266776,0.210263,0.201582,6.050160,1.000000,0.064077,0.084523,0.105259,0.328052
121,default,0.377374,500,0.360091,0.173265,0.286966,0.179678,3.676092,1.000000,0.065045,0.098007,0.167201,0.383983
122,default,0.136267,500,0.271409,0.182201,0.268222,0.278168,2.978296,1.000000,0.069820,0.191688,0.073518,0.312062
123,default,0.093259,500,0.292175,0.270874,0.201492,0.235460,3.576688,1.000000,0.062830,0.183292,0.075078,0.281358
124,default,1.114305,500,0.334831,0.217115,0.202799,0.245255,4.875519,1.000000,0.085486,0.089675,0.219390,0.227775
125,default,0.781492,500,0.248126,0.194823,0.292776,0.264275,2.687067,1.000000,0.047452,0.050005,0.171092,0.220109
126,default,0.927989,500,0.349629,0.173483,0.230724,0.246164,10.473725,1.000000,0.085813,0.103021,0.178576,0.226520
127,default,0.021808,500,0.267595,0.256524,0.159357,0.316524,3.515518,1.000000,0.045753,0.090855,0.128715,0.219593
128,default,0.905858,500,0.253904,0.311728,0.151904,0.282464,3.714837,1.000000,0.093483,0.058484,0.126447,0.269614
129,default,0.074001,500,0.271621,0.274024,0.147936,0.306419,2.216245,1.000000,0.090280,0.069309,0.102388,0.361436
130,default,2.926602,500,0.340435,0.166963,0.267443,0.225159,13.250674,1.000000,0.074086,0.073151,0.081432,0.283648
131,default,0.620142,500,0.310046,0.189836,0.207887,0.292231,2.545453,1.000000,0.066911,0.075692,0.155632,0.315046
132,default,0.631931,500,0.350697,0.266789,0.213939,0.168575,4.352455,1.000000,0.085209,0.155328,0.137391,0.316129
133,default,1.211752,500,0.275011,0.172198,0.331228,0.221564,119.743486,1.000000,0.088046,0.089087,0.194105,0.161580
134,default,0.095155,500,0.280660,0.267544,0.162365,0.289432,4.661574,1.000000,0.067622,0.058661,0.061011,0.392004
135,default,0.730144,500,0.331210,0.234408,0.261114,0.173268,5.274405,1.000000,0.107176,0.078290,0.033748,0.418146
136,default,0.024419,500,0.203632,0.205966,0.279810,0.310592,4.740380,1.000000,0.185861,0.073459,0.088161,0.275574
137,default,0.460146,500,0.286146,0.272351,0.213326,0.228178,212.082523,1.000000,0.045761,0.155776,0.094927,0.319549
138,default,1.425321,500,0.335666,0.190820,0.219152,0.254361,7.430473,1.000000,0.090302,0.053605,0.102047,0.478824
139,default,0.090893,500,0.347025,0.180277,0.149313,0.323385,2.811010,1.000000,0.043738,0.108336,0.110032,0.335280
140,default,2.985064,500,0.323218,0.204996,0.197528,0.274257,8.850145,1.000000,0.098289,0.112580,0.138060,0.287483
141,default,0.095002,500,0.325917,0.177691,0.219517,0.276875,6.812545,1.000000,0.102404,0.077823,0.220489,0.254775
142,default,0.024127,500,0.335388,0.257757,0.170954,0.235902,3.686055,1.000000,0.072362,0.111042,0.063065,0.341996
143,default,0.850219,500,0.254410,0.208178,0.304622,0.232789,5.901322,1.000000,0.158967,0.092399,0.036507,0.391500
144,default,1.505506,500,0.239461,0.214740,0.290592,0.255206,3.111371,1.000000,0.063836,0.116188,0.201700,0.204725
145,default,0.647377,500,0.326505,0.218856,0.262636,0.192002,3.317787,1.000000,0.100228,0.046468,0.112507,0.316180
146,default,0.527176,500,0.327193,0.254757,0.208702,0.209348,5.104613,1.000000,0.104171,0.071333,0.141690,0.217073
147,default,1.843778,500,0.347896,0.182404,0.192662,0.277038,18.943888,1.000000,0.086049,0.069297,0.164235,0.211201
148,default,0.232937,500,0.292631,0.193547,0.290210,0.223612,3.403907,1.000000,0.153744,0.041337,0.069746,0.334340
149,default,0.929061,500,0.295353,0.222865,0.215861,0.265921,3.592360,1.000000,0.070587,0.082941,0.097093,0.350676
150,default,0.368690,500,0.314004,0.255553,0.203185,0.227258,2.629833,1.000000,0.100944,0.070467,0.094683,0.270679
151,default,0.273672,500,0.272601,0.211159,0.278929,0.237311,3.885964,1.000000,0.126942,0.090237,0.137520,0.232707
152,default,2.696009,500,0.262629,0.153284,0.336796,0.247292,4.846756,1.000000,0.155930,0.065795,0.085147,0.283038
153,default,0.978973,500,0.308134,0.233351,0.217954,0.240561,2.454808,1.000000,0.072087,0.105227,0.152594,0.310144
154,default,0.995379,500,0.275135,0.166860,0.204391,0.353613,9.957288,1.000000,0.102410,0.129177,0.097615,0.243608
155,default,4.860479,500,0.264924,0.202646,0.242620,0.289811,6.495578,1.000000,0.108632,0.070550,0.056108,0.331520
156,default,1.194564,500,0.293477,0.197795,0.247131,0.261597,3.710469,1.000000,0.022167,0.118585,0.266042,0.275854
157,default,1.717955,500,0.308383,0.119363,0.285719,0.286535,3.392590,1.000000,0.046338,0.067955,0.200677,0.347127
158,default,2.238295,500,0.345665,0.165663,0.242314,0.246357,8.458179,1.000000,0.038387,0.171255,0.156949,0.298746
159,default,0.297571,500,0.315615,0.239898,0.241051,0.203437,15.257167,1.000000,0.100036,0.195503,0.156019,0.260672
160,default,0.002194,500,0.284643,0.241563,0.238494,0.235301,5.455728,1.000000,0.068655,0.118983,0.137069,0.374771
161,default,0.062521,500,0.340799,0.203871,0.217404,0.237926,2.906362,1.000000,0.084790,0.136380,0.109784,0.232897
162,default,0.534138,500,0.305525,0.184181,0.303394,0.206901,8.541460,1.000000,0.137133,0.120067,0.052125,0.316145
163,default,0.646471,500,0.334806,0.176823,0.248479,0.239891,2.658954,1.000000,0.083698,0.054236,0.106126,0.280739
164,default,0.344839,500,0.332867,0.156949,0.220162,0.290023,2.474978,1.000000,0.155147,0.094146,0.070007,0.319783
165,default,1.059855,500,0.393538,0.184189,0.210613,0.211661,18.706966,1.000000,0.068602,0.134557,0.122415,0.389244
166,default,0.248180,500,0.367633,0.186942,0.216481,0.228944,3.788144,1.000000,0.095606,0.092675,0.129902,0.249791
167,default,0.481197,500,0.225057,0.280065,0.210630,0.284247,9.598161,1.000000,0.079466,0.085900,0.141397,0.221068
168,default,0.479364,500,0.241075,0.278626,0.249918,0.230382,3.482635,1.000000,0.072755,0.059013,0.199621,0.256182
169,default,0.720396,500,0.225334,0.215416,0.246938,0.312311,2.706636,1.000000,0.150069,0.066035,0.101603,0.304262
170,default,1.413020,500,0.310021,0.277008,0.223353,0.189618,13.213694,1.000000,0.169254,0.053711,0.151942,0.267235
171,default,1.800661,500,0.350758,0.205161,0.192362,0.251719,3.428519,1.000000,0.076158,0.059393,0.118067,0.353974
172,default,0.535595,500,0.285096,0.201361,0.235376,0.278166,6.624260,1.000000,0.123708,0.030124,0.168674,0.352940
173,default,1.075535,500,0.300976,0.235047,0.241269,0.222708,2.987060,1.000000,0.041698,0.026387,0.136242,0.336306
174,default,1.464562,500,0.295875,0.207020,0.211353,0.285752,4.509259,1.000000,0.054146,0.163414,0.084883,0.316038
175,default,2.071140,500,0.270420,0.250003,0.195060,0.284516,8.867336,1.000000,0.184652,0.027875,0.096500,0.321132
176,default,0.494778,500,0.275023,0.226640,0.243425,0.254912,5.297865,1.000000,0.199122,0.056917,0.217591,0.188411
177,default,1.361215,500,0.268434,0.221165,0.250773,0.259628,2.449260,1.000000,0.102260,0.145187,0.044650,0.259269
178,default,0.093381,500,0.264177,0.243280,0.243690,0.248853,5.195919,1.000000,0.124032,0.142113,0.166621,0.254088
179,default,0.131526,500,0.351657,0.238719,0.209253,0.200370,5.750408,1.000000,0.185004,0.097710,0.086199,0.380291
180,default,0.610517,500,0.279858,0.189931,0.273433,0.256778,7.943979,1.000000,0.067471,0.146780,0.112919,0.259689
181,default,0.736139,500,0.296462,0.237642,0.260882,0.205014,2.524295,1.000000,0.044165,0.068012,0.286649,0.157138
182,default,0.100941,500,0.251736,0.236586,0.213318,0.298360,5.319719,1.000000,0.126557,0.146900,0.060614,0.267815
183,default,0.641268,500,0.273529,0.141367,0.254767,0.330337,5.872366,1.000000,0.072372,0.090644,0.147900,0.209716
184,default,0.335581,500,0.395400,0.207397,0.170598,0.226605,7.087939,1.000000,0.080017,0.124649,0.053332,0.352812
185,default,2.734983,500,0.334853,0.254351,0.179584,0.231211,2.980192,1.000000,0.105590,0.135472,0.192784,0.194858
186,default,0.013540,500,0.265036,0.266525,0.145256,0.323184,5.069136,1.000000,0.081276,0.056574,0.160705,0.299804
187,default,3.668392,500,0.274400,0.180821,0.266118,0.278662,2.471774,1.000000,0.066265,0.042621,0.158893,0.339932
188,default,0.814549,500,0.305497,0.171688,0.265131,0.257683,7.188680,1.000000,0.044259,0.088605,0.104583,0.424411
189,default,0.987495,500,0.279974,0.259370,0.182487,0.278169,2.527370,1.000000,0.096968,0.153520,0.083387,0.307246
190,default,0.409102,500,0.278649,0.203970,0.222492,0.294888,7.160971,1.000000,0.081759,0.069263,0.082715,0.334828
191,default,0.725597,500,0.275491,0.210411,0.239661,0.274438,4.324758,1.000000,0.155424,0.112582,0.046619,0.298681
192,default,1.349028,500,0.354252,0.212728,0.163412,0.269607,24.490507,1.000000,0.083298,0.032457,0.143892,0.316384
193,default,0.855286,500,0.322220,0.174137,0.207966,0.295678,17.473939,1.000000,0.150456,0.087354,0.091446,0.234997
194,default,0.100087,500,0.285537,0.208720,0.230414,0.275329,6.358210,1.000000,0.067328,0.181820,0.167177,0.300866
195,default,2.347580,500,0.315608,0.191966,0.236865,0.255561,5.980371,1.000000,0.089771,0.157811,0.060025,0.229562
196,default,2.183180,500,0.261288,0.260136,0.254096,0.224480,9.250507,1.000000,0.083230,0.078508,0.135518,0.317897
197,default,0.230634,500,0.380946,0.139513,0.173262,0.306279,8.569189,1.000000,0.111479,0.072356,0.096229,0.377613
198,default,0.506778,500,0.319551,0.233375,0.186878,0.260196,8.143128,1.000000,0.078500,0.074614,0.159757,0.343223
199,default,0.181721,500,0.293515,0.195627,0.250317,0.260540,7.602221,1.000000,0.033345,0.055977,0.143762,0.345452
200,default,0.540611,500,0.297459,0.233815,0.248435,0.220291,4.803863,1.000000,0.150536,0.048435,0.067553,0.288810
201,default,1.277307,500,0.304464,0.124479,0.346678,0.224379,13.888444,1.000000,0.172469,0.085050,0.121640,0.306335
202,default,0.279307,500,0.291268,0.169954,0.239081,0.299698,8.594447,1.000000,0.128018,0.129566,0.136001,0.224488
203,default,0.676327,500,0.215014,0.293760,0.292341,0.198885,3.643245,1.000000,0.102481,0.096386,0.178620,0.334297
204,default,0.578133,500,0.295321,0.277803,0.177969,0.248907,2.189696,1.000000,0.076348,0.113249,0.137607,0.364384
205,default,0.057382,500,0.299484,0.227114,0.180328,0.293075,15.909357,1.000000,0.063216,0.077969,0.119024,0.179797
206,default,0.626006,500,0.260066,0.177011,0.270656,0.292267,5.417273,1.000000,0.069136,0.196206,0.129281,0.328347
207,default,1.118384,500,0.378556,0.184346,0.203949,0.233149,5.989816,1.000000,0.094119,0.121824,0.192436,0.261756
208,default,1.604273,500,0.295297,0.258326,0.162494,0.283883,21.179659,1.000000,0.109003,0.063662,0.208104,0.339269
209,default,0.787495,500,0.292697,0.225170,0.262065,0.220068,4.139594,1.000000,0.213142,0.070276,0.115605,0.201922
210,default,0.657039,500,0.377594,0.165245,0.226642,0.230519,6.291661,1.000000,0.099427,0.102148,0.196828,0.379809
211,default,0.018305,500,0.279882,0.156743,0.283653,0.279722,8.658133,1.000000,0.040534,0.065397,0.103964,0.444247
212,default,0.428413,500,0.281461,0.250061,0.206795,0.261684,7.348240,1.000000,0.068958,0.123173,0.098992,0.307282
213,default,0.327377,500,0.302755,0.237496,0.194649,0.265099,6.435324,1.000000,0.104459,0.202609,0.078053,0.241550
214,default,0.711575,500,0.287802,0.207087,0.250752,0.254359,8.022087,1.000000,0.159500,0.031851,0.124930,0.362527
215,default,0.831625,500,0.261420,0.246027,0.281282,0.211271,5.129988,1.000000,0.039781,0.145687,0.107124,0.410565
216,default,0.640685,500,0.354452,0.244392,0.182200,0.218957,3.239529,1.000000,0.065285,0.067810,0.061284,0.465897
217,default,0.003716,500,0.273164,0.189138,0.219310,0.318389,3.788969,1.000000,0.070717,0.060013,0.099019,0.397037
218,default,0.711411,500,0.223708,0.265098,0.252546,0.258649,3.989640,1.000000,0.155957,0.038931,0.096488,0.434525
219,default,0.127792,500,0.180182,0.220485,0.289786,0.309548,6.783351,1.000000,0.136812,0.092230,0.048751,0.269144
220,default,0.247567,500,0.275034,0.274444,0.215836,0.234686,1.645441,1.000000,0.112556,0.057291,0.140870,0.185035
221,default,0.075915,500,0.248624,0.170078,0.260165,0.321133,33.210227,1.000000,0.109392,0.056985,0.191167,0.331552
222,default,0.033401,500,0.256655,0.218383,0.264804,0.260157,17.172771,1.000000,0.075387,0.127681,0.049820,0.385050
223,default,0.897096,500,0.279751,0.153127,0.274238,0.292884,8.463066,1.000000,0.163371,0.050135,0.183068,0.177482
224,default,2.025197,500,0.304769,0.129561,0.320163,0.245506,27.708952,1.000000,0.178863,0.174662,0.111475,0.262156
225,default,0.639471,500,0.269036,0.208274,0.232564,0.290125,4.218066,1.000000,0.135252,0.153179,0.131107,0.308618
226,default,1.206560,500,0.362607,0.232597,0.179050,0.225746,3.493329,1.000000,0.107751,0.128211,0.134574,0.262744
227,default,0.083097,500,0.339456,0.215507,0.238860,0.206176,5.426572,1.000000,0.057753,0.062803,0.113290,0.294483
